City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
142,Hervey Bay,AU,73.99,overcast clouds,-25.2986,152.8535,Shelly Bay Resort
151,Miri,MY,77.0,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
159,Namibe,AO,74.05,light rain,-15.1961,12.1522,Hotel Chik Chik Namibe
167,Maldonado,UY,70.0,few clouds,-34.6667,-54.9167,La Cimarrona
169,Killin,US,66.2,clear sky,33.6123,-91.7412,US Forestry Department
176,Wanlaweyn,SO,79.18,overcast clouds,2.6185,44.8938,Haji Qasim Hotel
183,Praia,CV,68.0,broken clouds,14.9215,-23.5087,LT Aparthotel
185,Inirida,CO,72.64,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
187,Vinukonda,IN,74.03,clear sky,16.05,79.75,VLS Residency
188,Farafangana,MG,75.29,clear sky,-22.8167,47.8333,Miarina
189,Doha,QA,69.8,clear sky,25.2867,51.5333,Doha Marriott Hotel
198,Dingle,PH,78.17,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
200,Bambous Virieux,MU,77.0,few clouds,-20.3428,57.7575,Casa Tia Villa
201,Hithadhoo,MV,78.66,moderate rain,-0.6,73.0833,Scoop Guest House
203,Paita,PE,73.26,broken clouds,-5.0892,-81.1144,Hotel Náutico de Paita
206,Bengkulu,ID,76.42,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
209,Half Moon Bay,US,66.2,clear sky,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
210,Lompoc,US,70.0,clear sky,34.6391,-120.4579,Holiday Inn Express Lompoc
213,Ahome,MX,79.0,broken clouds,25.9167,-109.1833,Rancho El Sauce y la Palma
214,Carutapera,BR,76.1,overcast clouds,-1.195,-46.02,Lidera
216,Viedma,AR,65.32,overcast clouds,-40.8135,-62.9967,Hotel Cristal
218,Bonthe,SL,78.93,broken clouds,7.5264,-12.505,Bonthe Holiday Village
220,Kupang,ID,75.2,overcast clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
225,Bajil,YE,79.79,few clouds,15.0584,43.2851,فندق الجلال
227,Mahebourg,MU,75.2,few clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
231,Olinda,BR,78.8,broken clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
237,Ilo,PE,69.82,overcast clouds,-17.6394,-71.3375,Torreblanca Hotel
239,Ankazoabo,MG,67.08,clear sky,-22.2833,44.5167,ENCEIN BUREAU CISCO
246,Ixtapa,MX,77.0,scattered clouds,20.7,-105.2,Hotel Plaza Providencia
248,Ipixuna,BR,77.0,scattered clouds,-1.7625,-48.8043,Casa da Oscarina
249,Kununurra,AU,78.8,overcast clouds,-15.7667,128.7333,Hotel Kununurra
254,Saldanha,ZA,68.0,overcast clouds,-33.0117,17.9442,Blue Bay Lodge
260,Castro,BR,65.52,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
261,Bac Lieu,VN,78.76,broken clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
267,Biltine,TD,73.33,few clouds,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
271,Todos Santos,MX,70.0,overcast clouds,23.45,-110.2167,Hotel California Todos Santos
272,Senanga,ZM,66.36,broken clouds,-16.1167,23.2667,Christopher Nasilele House
273,Cidreira,BR,73.58,scattered clouds,-30.1811,-50.2056,Hotel Castelo
278,Prainha,BR,77.38,broken clouds,-1.8,-53.48,Casa Rocha
283,Lhokseumawe,ID,77.04,overcast clouds,5.1801,97.1507,OYO 3278 Penginapan Alfajri
287,Diphu,IN,65.35,clear sky,25.8333,93.4333,Hotel Kamakhya
288,Puerto Ayacucho,VE,75.0,moderate rain,5.6639,-67.6236,Posada Turistica Manapiare
289,Sinnamary,GF,77.86,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
294,Rio Grande,BR,68.0,light rain,-32.035,-52.0986,Hotel Atlântico Rio Grande
295,Cockburn Town,TC,78.8,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
299,Porbandar,IN,76.86,few clouds,21.6422,69.6093,Lords Inn Porbandar
302,Vao,NC,77.63,few clouds,-22.6667,167.4833,Hotel Kou-Bugny
305,Alugan,PH,79.7,overcast clouds,12.2188,125.4808,JM Lodge
312,Luwuk,ID,77.77,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
313,Payo,ID,71.74,overcast clouds,-3.7508,103.6372,Mess keban agung
314,Mossendjo,CG,70.18,overcast clouds,-2.9506,12.7261,HOTEL D'ASSISE
317,Ahipara,NZ,70.83,moderate rain,-35.1667,173.1667,Ahipara Holiday Park
319,Harper,LR,78.78,broken clouds,4.375,-7.7169,Screensaver
323,Wanning,CN,73.47,overcast clouds,18.8003,110.3967,Paradise Hotel
324,Yulara,AU,71.6,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
326,Sassandra,CI,76.62,overcast clouds,4.95,-6.0833,la terrasse
334,Bandarbeyla,SO,76.64,scattered clouds,9.4942,50.8122,JABIR HOTEL
339,Arlit,NE,69.58,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
341,Cabedelo,BR,78.8,clear sky,-6.9811,-34.8339,Hotel Pigalle
342,Laibin,CN,73.2,broken clouds,23.7,109.2667,GreenTree Alliance Laibin Railway Station Hotel
348,Kloulklubed,PW,78.8,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
349,Christchurch,NZ,78.01,few clouds,-43.5333,172.6333,The George
351,Nizwa,OM,78.53,few clouds,22.9333,57.5333,Orient Apartments
354,Barra Do Garcas,BR,75.78,clear sky,-15.89,-52.2567,Hotel Pousada Tropical
