City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
110,Rosetta,EG,31.4044,30.4164,59.0,55,40,9.22,scattered clouds,2021-03-28 22:49:37
111,Mana,GF,5.6592,-53.7767,77.76,84,66,13.27,heavy intensity rain,2021-03-28 22:49:38
112,Ketchikan,US,55.3422,-131.6461,42.8,61,90,14.97,overcast clouds,2021-03-28 22:49:38
113,Bongandanga,CD,1.5,21.05,74.59,66,25,1.63,scattered clouds,2021-03-28 22:49:38
114,Hambantota,LK,6.1241,81.1185,73.4,100,90,3.44,overcast clouds,2021-03-28 22:49:38
115,Emba,KZ,48.8264,58.1442,25.23,92,100,7.67,overcast clouds,2021-03-28 22:49:39
116,Tambun,ID,-6.2641,107.0712,81.0,94,20,5.75,mist,2021-03-28 22:49:39
117,Jamestown,US,42.097,-79.2353,42.01,75,90,22.82,overcast clouds,2021-03-28 22:45:18
118,Yellowknife,CA,62.456,-114.3525,26.6,43,75,17.27,broken clouds,2021-03-28 22:49:39
119,Stillwater,US,36.1156,-97.0584,68.0,26,1,4.61,clear sky,2021-03-28 22:46:44
120,Itoman,JP,26.1247,127.6694,71.6,94,75,3.44,broken clouds,2021-03-28 22:49:39
121,Chokurdakh,RU,70.6333,147.9167,-6.99,99,98,5.21,overcast clouds,2021-03-28 22:49:40
122,Hobart,AU,-42.8794,147.3294,57.2,38,75,13.8,broken clouds,2021-03-28 22:49:40
123,Kaitangata,NZ,-46.2817,169.8464,64.96,64,49,4.54,scattered clouds,2021-03-28 22:49:40
124,Saint George,US,37.1041,-113.5841,73.99,17,1,9.22,clear sky,2021-03-28 22:49:40
125,Harqalah,TN,36.0303,10.509,62.01,94,27,4.61,scattered clouds,2021-03-28 22:49:41
126,Gat,IL,31.61,34.7642,54.0,74,1,4.68,clear sky,2021-03-28 22:49:41
127,Tiksi,RU,71.6872,128.8694,3.67,95,100,1.74,overcast clouds,2021-03-28 22:45:55
128,Te Anau,NZ,-45.4167,167.7167,59.9,83,91,4.38,overcast clouds,2021-03-28 22:47:09
129,Kalangala,UG,-0.3089,32.225,73.63,65,24,3.15,few clouds,2021-03-28 22:49:41
130,Puerto Ayora,EC,-0.7393,-90.3518,82.4,78,20,11.5,few clouds,2021-03-28 22:49:41
131,Iqaluit,CA,63.7506,-68.5145,14.0,73,90,12.66,light snow,2021-03-28 22:47:01
132,Ancud,CL,-41.8697,-73.8203,58.37,84,92,2.3,overcast clouds,2021-03-28 22:49:42
133,Kahului,US,20.8947,-156.47,78.8,57,40,21.85,scattered clouds,2021-03-28 22:49:42
134,Shache,CN,38.4167,77.2406,54.79,45,100,5.26,overcast clouds,2021-03-28 22:49:42
135,Alice Springs,AU,-23.7,133.8833,69.8,52,1,5.75,clear sky,2021-03-28 22:50:12
136,Isangel,VU,-19.55,169.2667,80.6,78,40,3.44,scattered clouds,2021-03-28 22:50:13
137,Bousso,TD,10.4795,16.7117,81.12,16,15,9.4,few clouds,2021-03-28 22:50:13
138,Adrar,MR,20.5022,-10.0711,80.51,8,82,9.37,broken clouds,2021-03-28 22:50:13
139,Norman Wells,CA,65.282,-126.8329,-0.4,55,75,16.11,broken clouds,2021-03-28 22:50:13
